id	name	gender	born	died	popularity	biography	image
145	Yui Ishikawa	1	1989		16	Yui Ishikawa is a Japanese actress and voice actress who was previously represented by Sunaoka Office, but now belongs to mitt management. Before she...	/7IUIHnRDWZq71EHMdomW3AvInd1.jpg
146	Daisuke Namikawa	2	1976		12	Daisuke Namikawa is a Japanese actor, voice actor and singer. He is sometimes mistaken for fellow voice actor Daisuke Hirakawa, as their names only...	/iw0X8oDutxaBAri3Ifga8nhdUJK.jpg
147	Takehito Koyasu	2	1967		11	Takehito Koyasu is a Japanese voice actor. Koyasu is part of the voice actor quartet Weiß consisting of Weiß Kreuz voice castmates Shinichiro Miki,...	/8uBkNDKPNmp9JWgMUI02NVyfhi1.jpg
148	Chieko Baisho	1	1941		5	Chieko Baisho (倍賞 千恵子, Baishō Chieko, born June 29, 1941) is a Japanese actress and singer.	/b8ANR4WfdUZtoU4ktlnMFzbq759.jpg
149	Takuya Kimura	2	1972		16	Takuya Kimura (Japanese: 木村 拓哉, Hepburn: Kimura Takuya, born November 13, 1972) is a Japanese actor, singer, and radio personality. He is regarded as...	/rafirRSsSsZrSVV3znCUwwSGIGr.jpg
150	Akihiro Miwa	2	1935		6	Akihiro Maruyama (born May 15, 1935), better known by his stage name Akihiro Miwa, is a Japanese singer, actor, author and drag queen. As an actor he...	/pCfBeLJigKnUWOAy7hsdBR7K0UV.jpg
151	Genndy Tartakovsky	2	1970		20	Genndy Tartakovsky is a Russian-American animator, director, producer, screenwriter, storyboard artist, comic book writer and artist. He is the...	/9zDGQgvPopxcPWCelOfXZfpffqi.jpg
152	Bryan Andrews	2			9		
153	Darrick Bachman	2	1969		1		
154	Jon Olson	2			3		/crkYY5wcjoDn04BFlkF5WiR3d1A.jpg
155	Lee Joon-ik	2	1959		3	Lee  Joon-ik (이준익) is a South Korean film director, producer, and occasional actor. Best known for mega-hit King and the Clown (2005), Hope (2013),...	/smZU1xzsTBThtM7Rp6vjaJUpchm.jpg
156	Sol Kyung-gu	2	1968		8	Sol Kyung-gu (born May 1, 1968) is a Grand Bell Award, Golden Space Needle Award, and Bratislava International Film Festival Best Actor winning South...	/9SqQcvVUPUziK37i5jIeUoqSOMB.jpg
157	Uhm Ji-won	1	1977		7	Uhm Ji Won is a Korean actress who was born on December 25th, 1977 in South Korea. She had her first acting job in 1998, when she appeared on the...	/tpWZnjZUREwMSzCbKbGPI6DVUdw.jpg
158	Lee Re	1	2006		11		/i1A5E4v5xRFammipC3H4jeOwczv.jpg
159	Irvin Kershner	2	1923	2010	2	​From Wikipedia, the free encyclopedia.  	/imtFUtcASoh2e1Emtt62UuFkIWA.jpg
160	Mark Hamill	2	1951		33	Mark Richard Hamill (born September 25, 1951) is an American actor, voice artist, producer, director, and writer. Hamill is best known for his role...	/zMQ93JTLW8KxusKhOlHFZhih3YQ.jpg
161	Harrison Ford	2	1942		23	Legendary Hollywood Icon Harrison Ford was born on July 13, 1942 in Chicago, Illinois. His family history includes a strong lineage of actors, radio...	/5M7oN3sznp99hWYQ9sX0xheswWX.jpg
162	Carrie Fisher	1	1956	2016	16	Carrie Frances Fisher (21 October 1956 - 27 December 2016) was an American actress, novelist, screenwriter, and lecturer. She is most famous for her...	/rfJtncHewKVnHjqpIZvjn24ESeC.jpg
163	Billy Wilder	2	1906	2002	7	Billy Wilder (22 June 1906 – 27 March 2002) was an Austrian-born director, screenwriter and producer who is regarded as one of the most excellent...	/tfVte6h2dlLn59Q0Mi6AvWAyRLP.jpg
164	William Holden	2	1918	1981	18	William Holden (April 17, 1918 – November 12, 1981) was an American actor. Holden won the Academy Award for Best Actor in 1953 and the Emmy Award for...	/r1jbczW8yf61Xtki9ojjfxrp0Ap.jpg
165	Gloria Swanson	1	1899	1983	8	From Wikipedia, the free encyclopedia	/eBRiSSbP5AvXAybv8HbLzpRO9Fp.jpg
166	Erich von Stroheim	2	1885	1957	6	From Wikipedia	/v0DY16kMSMAqIdI3yYSRGYiz37c.jpg
167	Ernst Lubitsch	2	1892	1947	4	Ernst Lubitsch was a German-born  film director. His urbane comedies of manners gave him the reputation of being Hollywood's most elegant and...	/tAsEhwiu3oqDgzCZSYN2xu0dEdD.jpg
168	Margaret Sullavan	1	1909	1960	2	Margaret Brooke Sullavan (May 16, 1909 – January 1, 1960) was an American actress. Sullavan started her career on the stage in 1929. In 1933 she...	/dEZy2AzvB0M1t6lXe1ObZMKALp8.jpg
169	James Stewart	2	1908	1997	14	James Maitland "Jimmy" Stewart was an American film and stage actor, known for his distinctive voice and his everyman persona. Over the course of his...	/268grdwLf5jAaYgIRpGAxskvqv9.jpg
170	Frank Morgan	2	1890	1949	8	From Wikipedia, the free encyclopedia.	/vSCvrwFacSTPxxUFf94s3vTH5kA.jpg
171	Viggo Mortensen	2	1958		35	Viggo Peter Mortensen Jr. born October 20, 1958) is an American actor, writer, director, producer, musician, and multimedia artist. Born and raised...	/vH5gVSpHAMhDaFWfh0Q7BG61O1y.jpg
172	Haruo Tanaka	2	1912	1992	2	From Wikipedia, the free encyclopedia.	/eziah9QZcIs3SVPgTS3iuyUpiW3.jpg
173	Nobuo Kaneko	2	1923	1995	2	Nobuo Kaneko (金子信雄 Kaneko Nobuo, 27 March 1923 – 20 January 1995) was a Japanese actor. He appeared in more than 200 films between 1950 and 1993. He...	/iKcZ0rtO5sCfOSEBvyAdCk68EzY.jpg
174	Roman Polanski	2	1933		13	Roman Polański (born 18 August 1933) is a Polish-French film director, producer, writer and actor. Born in Paris to Polish parents, Polański...	/m23QGZo7NHJj6vaBISZla8GnIB9.jpg
175	Adrien Brody	2	1973		41	Adrien Nicholas Brody was born in Woodhaven, Queens, New York, the only child of retired history professor Elliot Brody and Hungarian-born...	/1dBItgLFBNGEXnI48VvnnN2vFaX.jpg
176	Thomas Kretschmann	2	1962		16	Thomas Kretschmann (born 8 September 1962) is a German actor best known for playing Leutnant Hans Von Witzland in the 1993 film Stalingrad, Hauptmann...	/7M0P39a3CVA22dJyv5YQEkTThU7.jpg
177	Frank Finlay	2	1926	2016	5	Frank received Academy Award, Golden Globe and BAFTA Award nominations for his performance as William Shakespeare’s Iago in Stuart Burge’s 1965 film...	/fz3sIozTo0L1eCKlwHdoe92dcXk.jpg
178	Tomm Moore	2	1977		2	Tomm Moore is an Irish illustrator, comics artist and filmmaker. He is co-founder of Cartoon Saloon, an animation studio and production company,...	/gqUcu5yEtNgnCaA2jtSOs8DV1Gg.jpg
179	Honor Kneafsey	1	2004		9		/pgk3qwXCUjYReOwrGCLWm8qCbBx.jpg
180	Eva Whittaker	1			2		/hvDckVSrRCW5Rb4OpDWN17oGvR7.jpg
181	Sean Bean	2	1959		37	Shaun Mark "Sean" Bean (born 17 April 1959) is an English film and stage actor. Bean is best known for starring roles in the films Lord of the Rings:...	/kTjiABk3TJ3yI0Cto5RsvyT6V3o.jpg
182	Matthew McConaughey	2	1969		18	Matthew David McConaughey (born November 4, 1969) is an American actor. He first gained notice for his supporting performance in the coming-of-age...	/2mcg07areWJ4EAtDvafRz7eDVvb.jpg
183	Anne Hathaway	1	1982		56	Anne Jacqueline Hathaway (born November 12, 1982) is an American actress. She is the recipient of various accolades, including an Academy Award, a...	/tLelKoPNiyJCSEtQTz1FGv4TLGc.jpg
184	Jessica Chastain	1	1977		40	Jessica Michelle Chastain (born March 24, 1977) is an American actress and film producer. Known for her roles in films with feminist themes, she has...	/eQKnihReJeB9vQEa5gySzAlKfZt.jpg
185	Damien Chazelle	2	1985		5	Damien Chazelle is an American director and screenwriter. His directorial debut was the musical Guy and Madeline on a Park Bench (2009), his...	/14kRZ3XxNMyBv717YQSXr3wCucy.jpg
186	Miles Teller	2	1987		121	Miles Alexander Teller (born February 20, 1987) is an American actor and musician. Born in Downingtown, Pennsylvania and an alumnus of NYU's Tisch...	/cg3LW0xX6RKr8dmescxq1bepcb5.jpg
187	J.K. Simmons	2	1955		59	Jonathan Kimble Simmons (born January 9, 1955) is an American actor. He has been cited as one of the greatest contemporary character actors, and has...	/7kIiPojgSVNRXb5z0hiijcD5LJ6.jpg
188	Paul Reiser	2	1957		19	From Wikipedia, the free encyclopedia	/v3e5TClep4ugMdU4qSRiKbvLr3B.jpg
189	Tony Kaye	2	1946		1	A director of films, music videos, advertisements and documentaries. Kaye has made several iconic music videos, including the video for "Runaway...	/5FMrsJ6yDbA3JccaFAKpGk5s6MR.jpg
190	Edward Furlong	2	1977		21	Edward Walter Furlong (born August 2, 1977) is an American actor whose best known film roles include John Connor in Terminator 2: Judgment Day and...	/e221dMIBgb6Lk092GIkHB9ohQF1.jpg
191	Beverly D'Angelo	1	1951		42	Beverly D'Angelo (born November 15, 1951) is an American actress and singer.	/8fYQIA8dAaA4GOTxOFSKIvTqzi.jpg
192	Haruo Sotozaki	2			6		/9SsLeBJkFluywq7YaEQiC9iIFBq.jpg
193	Natsuki Hanae	2	1991		15	Natsuki Hanae is a Japanese voice actor from Kanagawa Prefecture. He is affiliated with Across Entertainment. In 2015, he won an award at the 9th...	/A1lGrpBEdAUxZA7RoAw4Zr4ved3.jpg
194	Akari Kito	1	1994		18		/43SgANYtj7vpsHmz68hgPDlxC15.jpg
195	Hiro Shimono	2	1980		9	Hiro Shimono is a Japanese voice actor and singer affiliated with I'm Enterprise. His notable roles include Keima Katsuragi in...	/i5CaaqKmHH0vKCloqZyrCwn5mWy.jpg
196	Grace Kelly	1	1929	1982	13	From Wikipedia, the free encyclopedia.	/zLbuA51qjFWrRhxyoEnWu8fOOb7.jpg
197	Thelma Ritter	1	1902	1969	7	Thelma Ritter (February 14, 1902 – February 5, 1969) was an American actress, best known for her comedic roles as working-class characters and her...	/6gZKUPYiAr5FJWPiR9SvSnt2Ijj.jpg
198	Leonardo DiCaprio	2	1974		38	Leonardo Wilhelm DiCaprio (born November 11, 1974) is an American actor and film producer. Known for his work in biopics and period films, DiCaprio...	/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg
199	Joseph Gordon-Levitt	2	1981		35	Joseph Leonard Gordon-Levitt (born February 17, 1981) is an American actor and filmmaker. He has received various accolades, including nominations...	/dhv9f3AaozOjpvjAwVzOWlmmT2V.jpg
200	Ken Watanabe	2	1959		14	Ken Watanabe (born October 21, 1959) is a Japanese stage, film, and television actor. To English-speaking audiences he is known for playing tragic...	/psAXOYp9SBOXvg6AXzARDedNQ9P.jpg
201	Gwyneth Paltrow	1	1972		25	Gwyneth Kate Paltrow (born September 27, 1972) is an American actress, businesswoman and author. She has received numerous accolades for her work,...	/slPWN0VvYJtNOEuxlFSsXSNQMaF.jpg
202	Kyōko Kagawa	1	1931		6	​From Wikipedia, the free encyclopedia.	/q47wPwySJvhj6HQoYb7ON1TjbcV.jpg
203	Jorge Ulloa	2	1990		1		/aTRa0w2KlUCFsIhyg1UUSLpJcdg.jpg
204	Raúl Santana	2	1989		3		/t2JoMFV1XIIzcDL4iSplPSxOo1m.jpg
205	Nataly Valencia	1			1	Nataly Valencia is an Ecuadorian writer and actress, known for feature films "Los canallas" (2009), "Distante Cercanía" (2012), "Dedicada a mi Ex"...	/nXa2JH5shLuF18mh954xRPdHI3y.jpg
206	Carlos Alcantara	0			1		/kOA49MEbLUCvkob99Ju13H1eYFS.jpg
207	Youji Matsuda	2	1967		2		/42WeHwCymsgJh3mLAyknCdRcef8.jpg
208	Yuriko Ishida	1	1969		7		/cADoBCi603Chz2IaxcwWT2mNwCf.jpg
209	Yūko Tanaka	1	1955		7	Yūko Tanaka is a Japanese actress from Osaka Prefecture, Japan. She has won several acting awards during a long career working in both film and...	/xXek6ZKG9iH5ughIneW3yv9slyY.jpg
210	Charlie Chaplin	2	1889	1977	28	Charles “Charlie” Chaplin (16 April 1889 – 25 December 1977) was an English comic actor, film director and composer best-known for his work during...	/lRI9Ky1SMOehn04OqhYJ5hQfgIK.jpg
211	Virginia Cherrill	1	1908	1996	1	​From Wikipedia, the free encyclopedia.  	/d2Mrbpgi9XYPrtGCFKoYYOwmEE6.jpg
212	Harry Myers	2	1882	1938	1	​From Wikipedia, the free encyclopedia.  	/tmqjmoLhonzM3Ylseu3ZOrSnWV7.jpg
213	Jack Oakie	2	1903	1978	5	Jack Oakie (November 12, 1903 – January 23, 1978) was an American actor, starring mostly in films, but also working on stage, radio and television.	/9oWdEicbTjfpfiCtvvYuxi0UseU.jpg
214	Reginald Gardiner	2	1903	1980	3	Reginald Gardiner (27 February 1903 - 7 July 1980) was an English-born actor in film and television and a graduate of the Royal Academy of Dramatic...	/A24zNUDwHQrb9HUhu670r6X9xdo.jpg
215	Hikaru Yamaguchi	0			1		
216	Takuya Eguchi	2	1987		20	Takuya Eguchi is a Japanese voice actor and singer from Setagaya, Tokyo. He is affiliated with 81 Produce. He has voiced in a number of lead roles in...	/rL60UEA0FgLCyWi4rCErWswWFin.jpg
217	Masatomo Nakazawa	2	1983		8	Masatomo Nakazawa (中澤 まさとも, Nakazawa Masatomo, February 14, 1983) is a Japanese voice actor and actor from Nerima, Tokyo. He is attached to Tokyo...	/3pezOVWCMKWdqAzwSo0eKNtso95.jpg
218	Shogo Yano	2	1989		6		/x08dYf7ClbE92qu0VTFQvquvItl.jpg
219	Jonathan Demme	2	1944	2017	8	Robert Jonathan Demme (February 22, 1944 – April 26, 2017) was an American filmmaker, producer and screenwriter. He was best known for directing The...	/w9Lw3xTEFQUYELkl9AH5i3p5OhJ.jpg
220	Jodie Foster	1	1962		19	Alicia Christian "Jodie" Foster (born November 19, 1962) is an American actress, director, and producer. She is the recipient of many accolades...	/AodjR16HMtbV8zZsUJdvJUSYxlo.jpg
221	Anthony Hopkins	2	1937		24	Sir Philip Anthony Hopkins CBE (born 31 December 1937) is a Welsh actor, film director, and film producer. He is the recipient of numerous accolades,...	/9ukJS2QWTJ22HcwR1ktMmoJ6RSL.jpg
222	Scott Glenn	2	1939		36	Theodore Scott Glenn (born January 26, 1941) is an American actor.	/keBKcMPojtRTi5ImLXOoKDmDbqU.jpg
223	Justin Baldoni	2	1984		9	Justin Baldoni is an American film and television actor and director, best known for playing series regular Rafael Solano on the comedy-drama series...	/2sc6iUWljADnqtjsaKU3s6f0DGW.jpg
224	Steffan Argus	2	1998		3	Steffan Fin Argus (born September 1, 1998) is an American actor, musician, and model.	/3aDbVpQga0Bhcx7GGh3jKVaeJN6.jpg
225	Sabrina Carpenter	1	1999		20	Sabrina Ann Lynn Carpenter (born May 11, 1999) is an American actress, singer, songwriter and producer, best known for her roles the Disney Channel...	/qUlMOayixPubcwUBYstrWxbzfpb.jpg
226	Madison Iseman	1	1997		19	Madison Iseman is an American film and television actress, best known for playing main character Charlotte Cooke on the comedy television series...	/dsyANGd3zY1aDTeJLKnPxmrY3iy.jpg
227	Joseph Kosinski	2	1974		15	Joseph Kosinski (born May 3, 1974) is an American film director best known for the science-fiction films "Tron: Legacy" (2010) and "Oblivion" (2013),...	/oWLUXWY0j8TYzwnf2wETYWO181S.jpg
228	Tom Cruise	2	1962		63	Thomas Cruise Mapother IV (born July 3, 1962), better known as Tom Cruise, is an American actor and producer. One of the world's highest-paid actors,...	/8qBylBsQf4llkGrWR3qAsOtOU8O.jpg
229	Jennifer Connelly	1	1970		212	Jennifer Lynn Connelly (born December 12, 1970) is an American actress. She began her career as a child model before making her acting debut in the...	/egh1eOHuYgeoqdlLQgaXMl6cPOm.jpg
230	Peter Weir	2	1944		4	Peter Lindsay Weir, AM is an Australian film director. After playing a leading role in the Australian New Wave cinema with his films such as Picnic...	/4GxIZX5gtbMpW4ZgHwvGmLSIHOE.jpg
231	Robin Williams	2	1951	2014	24	Robin McLaurin Williams (July 21, 1951 – August 11, 2014) was an  American actor and stand-up comedian. Rising to fame with his role as  the alien...	/iYdeP6K0qz44Wg2Nw9LPJGMBkQ5.jpg
232	Ethan Hawke	2	1970		48	Ethan Green Hawke (born November 6, 1970) is an American actor, writer and director. He made his feature film debut in 1985 with the science fiction...	/a7rgJl8TYUWAfJuM4fxbLHgD7BL.jpg
233	Robert Sean Leonard	2	1969		21	​Robert Sean Leonard (born February 28, 1969) is an award-winning American actor.	/nlDEfUE4GH6UVEQS5v7NG9sXY8X.jpg
234	Luc Besson	2	1959		12	Luc Besson is a French film director, writer, and producer known for making highly visual thriller and action films.  Besson has been nominated for,...	/dXJdczT1NcvcZtnoWVGT0NmG11v.jpg
235	Jean Reno	2	1948		29	Jean Reno (born 30 July 1948)is a French actor of Andalusian Spanish descent.  Working in French, English, and Italian, he has appeared not only in...	/4TcZEDVA0u6x5pF2oZMuslxZKHe.jpg
236	Natalie Portman	1	1981		65	Natalie Portman (born Neta-Lee Hershlag, June 9, 1981) is an actress with dual American and Israeli citizenship. Her first role was in the 1994...	/xcbZjjES1CnvMZMepbS5EaTDUzH.jpg
237	Gary Oldman	2	1958		30	Gary Leonard Oldman (born 21 March 1958) is an English actor and filmmaker. Regarded as one of the best actors of his generation, he is known for his...	/2v9FVVBUrrkW2m3QOcYkuhq9A6o.jpg
238	Elem Klimov	2	1933	2003	9	Elem Germanovich Klimov (Russian: Эле́м Ге́рманович Кли́мов; 9 July 1933 – 26 October 2003) was a Soviet Russian film director. He studied at VGIK,...	/vzed7lMJ3ADWm2DnF9C0bSIbiaO.jpg
239	Aleksei Kravchenko	2	1969		11	From Wikipedia, the free encyclopedia	/52V8xsWjCvrujdGNv0ayvuZBTT0.jpg
240	Olga Mironova	1			11	Olga Mironova is an actress, known for Come and See (1985).	/wSeCtQNuWVVUlHMAAkxVRSCYh7s.jpg
241	Liubomiras Laucevicius	2	1950		5		/r6Gdi2P7D6cPHcgTvvO4NSzvb9I.jpg
242	Paulette Goddard	1	1910	1990	3	From Wikipedia, the free encyclopedia.	/wOVgVjBJjIZL9TiVDunQMn9pD3W.jpg
243	Henry Bergman	2	1868	1946	3	Henry Bergman (February 23, 1868 – October 22, 1946) was an American actor of stage and film, known for his long association with Charlie Chaplin....	/1vIoHPX8faMuMQJtKrqqrZpGgPQ.jpg
244	Thomas Kail	2	1978		8	Thomas Kail (born January 30, 1978) is an American theatre director, known for directing the Off-Broadway and Broadway productions of Lin-Manuel...	/fe568wCZjaM7ZmSMcraYe3XN3tt.jpg
245	Lin-Manuel Miranda	2	1980		11	Lin-Manuel Miranda (born January 16, 1980) is an American composer, lyricist, playwright, and actor best known for creating and starring in the...	/r0wFwPa041pZ1QM66yJWuQXCkqx.jpg
246	Leslie Odom Jr.	2	1981		3	Leslie Odom Jr. (born August 6, 1981) is an American actor and singer. He has performed on Broadway and in television and film, and has released two...	/pDA11JMNAGQGJo7nRpZHp7pdp9N.jpg
247	Renée Elise Goldsberry	1	1971		13	Renée Elise Goldsberry (born January 2, 1971) is an American actress, singer and songwriter, known for originating the role of Angelica Schuyler in...	/p4Rjbr8ZpQ7l3qVCGvNqrLlPs4M.jpg
248	Haley Lu Richardson	1	1995		21	Haley Lu Richardson (born March 7, 1995) is an American actress. Following early television roles on the Disney Channel sitcom Shake It Up (2013) and...	/lU0umjlumJZcbFnJrc5QrJivbuv.jpg
249	Cole Sprouse	2	1992		19	Cole Sprouse is an Italian-born American actor, collectively known as the Sprouse Bros with his twin brother Dylan Sprouse. By the end of the 2000s,...	/qqarRg2oRYpK2KnHeLqe716nEVE.jpg
250	Moisés Arias	2	1994		7	Moisés Arias (born April 18, 1994) is an American actor. He is best known for his role on Hannah Montana and as host of Moises Rules.	/gcZFNl5xRIjtiDQ2W66A9v2lEih.jpg
251	Claudia Cardinale	1	1938		34	​From Wikipedia, the free encyclopedia.  	/eSNCcnxtBJf0AIAB4k7jpFJNwcD.jpg
252	Henry Fonda	2	1905	1982	13	Henry Jaynes Fonda (May 16, 1905 – August 12, 1982) was an American actor who had a career that spanned five decades in Hollywood. Fonda cultivated a...	/6wXWsqSXF3wCsGcwVqiszy6RX9X.jpg
253	Jason Robards	2	1922	2000	16	Jason Nelson Robards Jr. (July 26, 1922 – December 26, 2000) was an American actor. Known as an interpreter of the works of playwright Eugene...	/9y0HAtWWBkB02gVzh8QDdz6UYZH.jpg
254	Matt Peters	2			6	Matt Peters is a storyboard artist and director, known for directing Justice League Dark: Apokolips War (2020), and Scooby-Doo! Shaggy's Showdown...	
255	Matt Ryan	2	1981		17	Matt Ryan (born 11 April 1981) is a Welsh actor from Swansea. He is known for voicing Edward Kenway in the Ubisoft video game Assassin's Creed IV:...	/qLx6rzn6MMcJtTals5Z7Mb6z4Y9.jpg
256	Jerry O'Connell	2	1974		14	Jerry O’Connell (born February 17, 1974) is an American actor, best known for his roles on the TV series Sliders and Crossing Jordan as the films...	/p2zcFeDIKUrPrbT5ODqoLifdN3Q.jpg
257	Taissa Farmiga	1	1994		29	Taissa Farmiga (born August 17, 1994) is an American actress. She began her career on film in the drama Higher Ground (2011), and subsequently made...	/kC2Movbs6uEF8DdDhvyHizQHuru.jpg
258	Michael J. Fox	2	1961		17	Born Michael Andrew Fox in Edmonton, Alberta, Canada, he adopted the "J" as an homage to character actor Michael J. Pollard. Moving several times...	/2JB4FMgQmnhbBlQ4SxWFN9EIVDi.jpg
259	Christopher Lloyd	2	1938		34	Christopher Allen Lloyd (born October 22, 1938) is an American actor. He is best known for playing Doc Brown in the Back to the Future trilogy, Uncle...	/nxVjpyb3UrfbPZnEyDNlQVlFAs5.jpg
260	Lea Thompson	1	1961		16	From Wikipedia, the free encyclopedia.	/85E9NTEfkRdUdK4kTrrnk5of25w.jpg
261	Mitja Okorn	0			1		
262	Jaden Smith	2	1998		7	Jaden Christopher Syre Smith (born July 8, 1998) is an American child actor, rapper, songwriter, dancer, and the son of Will Smith and Jada Pinkett...	/meraACSN0LYwLeZlaXN9YW6JCZT.jpg
263	Cara Delevingne	1	1992		33	Cara Jocelyn Delevingne (born 12 August 1992) is an English model, actress, and singer. She signed with Storm Management after leaving school in...	/izZ8IbsIjNpjZ5S0HIYreVwVRzn.jpg
264	Cuba Gooding Jr.	2	1968		11	Cuba Gooding was born in Bronx, New York to Shirley, a singer with the Sweethearts, and Cuba Gooding, Sr., a lead vocalist of soul group The Main...	/bxL1lZyMKcexcAKNhkU4Gy73wLb.jpg
265	Stanley Kubrick	2	1928	1999	17	Stanley Kubrick (July 26, 1928 – March 7, 1999) was an American film director, writer, producer, and photographer who lived in England during most of...	/yFT0VyIelI9aegZrsAwOG5iVP4v.jpg
266	Kirk Douglas	2	1916	2020	8	Kirk Douglas (born Issur Danielovitch; December 9, 1916 – February 5, 2020) was an American actor, producer, director and author. He grew up as Izzy...	/t94It9bPI6uBvNuuQlQipyYyURC.jpg
267	Ralph Meeker	2	1920	1988	7	From Wikipedia, the free encyclopedia.	/kw49AcV9vDgTZY2ts6qrPHSTS76.jpg
268	Adolphe Menjou	2	1890	1963	5	Adolphe Menjou was an American actor, his screen career spanning both silent films (with credited roles from 1916 onward) and talkies. Among the many...	/88FfjxT3cFDIbCIK0UmwyjEF6tU.jpg
269	Edward Yang	2	1947	2007	7	Edward Yang (Chinese: 楊德昌; pinyin: Yáng Déchāng; November 6, 1947 – June 29, 2007) was a Taiwanese filmmaker. Yang, along with fellow auteurs Hou...	/j7K4l87WXqvzT1abKsvgMVnFOyW.jpg
270	Chang Chen	2	1976		10	Chang Chen (born October 14, 1976) is a Taiwanese actor, born in Taipei, Taiwan. His name is sometimes seen in the Western order (Chen Chang). He is...	/4BOQ5pJXdsArkMHvyVhrV8Ditnr.jpg
271	Lisa Yang	0			2		/gt34a707NZaDfzF8pYWqBwZagth.jpg
272	Chang Kuo-Chu	2	1948		2		/6hGLo2VE970oi3LMPr9QcmiaDSG.jpg
273	Hiroshi Teshigahara	2	1927	2001	3	From Wikipedia, the free encyclopedia.	/yz6G5YUkbq4NKw7sAjmo74JzuEb.jpg
274	Eiji Okada	2	1920	1995	7	From Wikipedia, the free encyclopedia.	/psadJTgSSEqaVKDpsk40tb5ypbg.jpg
275	Kyōko Kishida	1	1930	2006	7	From Wikipedia, the free encyclopedia	/eWBKOdjAJF0Z0K1DGH2vum400c5.jpg
276	Hiroko Itō	1	1937		1		
277	Ettore Scola	2	1931	2016	4	Ettore Scola (Italian pronunciation: [ˈɛttore ˈskɔːla]; 10 May 1931 – 19 January 2016) was an Italian screenwriter and film director. He received a...	/yk1wI0N3McnzJHzzPPyN5qLZPMb.jpg
278	Nino Manfredi	2	1921	2004	4	From Wikipedia, the free encyclopedia	/iFJ9i6GGJ4romvuF922mZNROPKW.jpg
279	Vittorio Gassman	2	1922	2000	6	Vittorio Gassman Knight Grand Cross OMRI (Italian pronunciation: [vitˈtɔːrjo ˈɡazman]; born Gassmann; 1 September 1922 – 29 June 2000), popularly...	/sLMqeXVCdoIAoTpCZmObfi44uI2.jpg
280	Stefania Sandrelli	1	1946		12	Stefania Sandrelli (1946) is an Italian actress, famous for her many roles in the commedia all'Italiana, starting from 1960s. At 15 years old she...	/aPmAstwHeEyN17UDKcSJf4OGBEQ.jpg
281	Jacques Becker	2	1906	1960	2	Jacques Becker (French: [bɛkɛʁ]; 15 September 1906 – 21 February 1960) was a French screenwriter and film director.	/bagZCqB9Ezg2QWEMQwhWbJd9fNi.jpg
282	Michel Constantin	2	1924	2003	5	Michel Constantin (born Constantin Hokhloff, 13 July 1924 – 29 August 2003) was a French film actor.	/A9rrvk2DkpCcE2LJ18NhCEv6Wfa.jpg
283	Jean Keraudy	2	1920	2001	6		/bb4FBj9koEbGCfFYzykw9TLIQ8N.jpg
284	Philippe Leroy	2	1930		9	Philippe Leroy, full name Philippe Leroy-Beaulieu (born 15 October 1930, Paris, France) is a French film actor. He has appeared in over 150 films...	/d4hTg6vJpsUuzDz8iByBXs6B3Mv.jpg
285	Satoshi Kon	2	1963	2010	11	Satoshi Kon (October 12, 1963 – August 24, 2010) was a Japanese anime director and mangaka from Kushiro, Hokkaidō and a member of the Japan Animation...	/b7Oqg1bjS0e2iEzEjYWnsyVVagt.jpg
286	Junko Iwao	1	1970		6	From Wikipedia, the free encyclopedia	/bKyMLT1MgDTnXafsq2ur32VMwY5.jpg
287	Rica Matsumoto	1	1968		5		/ykm6ZpLcX5wblCNp7rOAoZpCh3L.jpg
288	Shinpachi Tsuji	2	1956		4	From Wikipedia, the free encyclopedia	/af5ILJbixauO84bsuLOr8XSU9yd.jpg
289	Derek Tsang	2	1979		4		/aEh2IH7r37idxR1xMXtugOOrtBw.jpg
290	Zhou Dongyu	1	1992		8	Dongyu Zhou, born in Shijiazhuang City, Hebei Province, graduated from the 2011 undergraduate class of the Performance Department of Beijing Film...	/vD2vVvIIx8ygzkhUQZJLkvYT1jr.jpg
291	Jackson Yee	2	2000		10		/d7y9zz1e5PDstH9PaLFXSXKaXIC.jpg
292	Yin Fang	2	1986		5		/z5NJCOusV04kVzWXGPqsdUBeMGV.jpg
293	Souichi Masui	2	1966		2		/eRCRldZdRnflFnzRJbSs6QNEmwm.jpg
294	Kaito Ishikawa	2	1993		10	Ishikawa Kaito is a voice actor (seiyuu) from Tokyo, Japan. He is affiliated with Pro-Fit.	/kLVhJYH73ust9ComUxGR63DOvxu.jpg
295	Asami Seto	1	1993		13	Asami Seto is a Japanese voice actress affiliated with Sigma Seven. She made her debut in the television anime Hourou Musuko.	/j88IskzIdGkyHBbjygPyg9EiE90.jpg
296	Inori Minase	1	1995		12	Inori Minase is a Japanese actress, voice actress and singer who made her singing debut in December 2015 under King Records label. In March 2016, she...	/sSXB0DOmfLy1BGsTN7q98Q9yzAf.jpg
297	Martin Sheen	2	1940		8	Ramón Antonio Gerardo Estévez (born August 3, 1940), known professionally as Martin Sheen, is an American actor. He first became known for his roles...	/m2Y3Q0uyuW6htrn2W9UWCWMkpZu.jpg
298	Rebecca Sugar	3	1987		4	Rebecca Sugar (born July 9, 1987), is an American animator, director, screenwriter, producer, and songwriter. She is known for creating the Cartoon...	/n3EAsbD9AiQZAP2VVcGylzDat1L.jpg
